								
N	Word	Freq.	%	Texts	%	Dispersion	Lemmas	Set
196	REPRESENTANTE	169	0,07	n/a	n/a	n/a	REPRESENTANTE[127] REPRESENTANTES[42]	
197	ADICIONAL	168	0,07	n/a	n/a	n/a	ADICIONAL[152] ADICIONALES[16]	
198	COMPETENCIA	168	0,07	n/a	n/a	n/a	COMPETENCIA[64] COMPETENCIAS[104]	
199	MEDIOS	168	0,07	16	57,14	0,76		
200	INCLUIR	167	0,07	n/a	n/a	n/a	INCLUIR[11] INCLUIDA[14] INCLUIDAS[25] INCLUIDO[16] INCLUIDOS[29] INCLUIRÁ[14] INCLUIRÁN[5] INCLUYA[7] INCLUYAN[6] INCLUYE[16] INCLUYEN[3] INCLUYENDO[20] INCLUYESE[1]	
201	PRESTACIÓN	166	0,07	n/a	n/a	n/a	PRESTACIÓN[109] PRESTACIONES[57]	
202	CENTROS	165	0,07	8	28,57	0,59		
203	EXPEDIR	165	0,07	n/a	n/a	n/a	EXPEDIR[14] EXPEDIDA[25] EXPEDIDAS[4] EXPEDIDO[51] EXPEDIDOS[21] EXPEDIRÁ[24] EXPEDIRÁN[3] EXPIDA[9] EXPIDAN[5] EXPIDE[7] EXPIDIÓ[2]	
204	MIGRACIONES	165	0,07	6	21,43	0,53		
205	PROCEDER	165	0,07	n/a	n/a	n/a	PROCEDER[24] PROCEDA[44] PROCEDAN[19] PROCEDE[17] PROCEDEN[2] PROCEDERÁ[51] PROCEDERÁN[1] PROCEDIDO[2] PROCEDIENDO[3] PROCEDIERA[1] PROCEDIESE[1]	
206	RELATIVO	163	0,07	n/a	n/a	n/a	RELATIVO[46] RELATIVA[36] RELATIVAS[34] RELATIVOS[47]	
207	HACER	162	0,06	n/a	n/a	n/a	HACER[0] HACÍA[1] HAGA[14] HAGAN[8] HARÁ[58] HARÁN[12] HECHA[8] HECHAS[3] HECHOS[56] HICIERA[2]	
208	TÉRMINO	161	0,06	n/a	n/a	n/a	TÉRMINO[7] TÉRMINOS[154]	
209	RAZÓN	160	0,06	n/a	n/a	n/a	RAZÓN[35] RAZONES[125]	
210	EMPRESA	159	0,06	n/a	n/a	n/a	EMPRESA[127] EMPRESAS[32]	
211	RESIDIR	159	0,06	n/a	n/a	n/a	RESIDIR[72] RESIDA[21] RESIDAN[20] RESIDE[2] RESIDEN[4] RESIDIDO[36] RESIDIENDO[4]	
212	RESOLVER	159	0,06	n/a	n/a	n/a	RESOLVER[67] RESOLVERÁ[39] RESOLVERÁN[11] RESOLVIERA[1] RESOLVIÓ[1] RESUELTA[3] RESUELTAS[1] RESUELTO[19] RESUELTOS[1] RESUELVA[13] RESUELVE[3]	
213	COMUNIDAD	158	0,06	n/a	n/a	n/a	COMUNIDAD[67] COMUNIDADES[91]	
214	INICIAL	157	0,06	n/a	n/a	n/a	INICIAL[136] INICIALES[21]	
215	LARGA	156	0,06	4	14,29	0,52		
216	NÚMERO	156	0,06	n/a	n/a	n/a	NÚMERO[123] Nº[31] NÚMEROS[2]	
217	AUTORIDADES	155	0,06	14	50,00	0,69		
218	ACTUACIÓN	154	0,06	n/a	n/a	n/a	ACTUACIÓN[31] ACTUACIONES[123]	
219	DOCUMENTOS	154	0,06	18	64,29	0,78		
220	EMPLEADOR	154	0,06	n/a	n/a	n/a	EMPLEADOR[121] EMPLEADORES[33]	
221	MINISTRO	154	0,06	n/a	n/a	n/a	MINISTRO[94] MINISTRA[10] MINISTROS[50]	
222	TÉRMINOS	154	0,06	18	64,29	0,77		
223	OBLIGACIÓN	153	0,06	n/a	n/a	n/a	OBLIGACIÓN[67] OBLIGACIONES[86]	
224	EDAD	152	0,06	13	46,43	0,73		
225	RENOVACIÓN	152	0,06	n/a	n/a	n/a	RENOVACIÓN[130] RENOVACIONES[22]	
226	MIEMBROS	151	0,06	15	53,57	0,58		
227	MEDIDAS	150	0,06	18	64,29	0,80		
228	PERIODO	150	0,06	n/a	n/a	n/a	PERIODO[135] PERIODOS[15]	
229	VIAJE	150	0,06	13	46,43	0,69		
230	NOTIFICACIÓN	149	0,06	n/a	n/a	n/a	NOTIFICACIÓN[135] NOTIFICACIONES[14]	
231	PASAPORTE	149	0,06	14	50,00	0,72		
232	RESIDENTE	148	0,06	n/a	n/a	n/a	RESIDENTE[82] RESIDENTES[66]	
233	SALVAR	148	0,06	n/a	n/a	n/a	SALVAR[0] SALVO[148]	
234	SALVO	148	0,06	18	64,29	0,78		
235	SALIDA	147	0,06	n/a	n/a	n/a	SALIDA[119] SALIDAS[28]	
236	ESPAÑOLA	146	0,06	26	92,86	0,71		
237	ACTIVIDADES	145	0,06	11	39,29	0,70		
238	CORRESPONDER	145	0,06	n/a	n/a	n/a	CORRESPONDER[2] CORRESPONDA[59] CORRESPONDAN[14] CORRESPONDE[26] CORRESPONDEN[6] CORRESPONDERÁ[33] CORRESPONDERÁN[2] CORRESPONDERÍA[2] CORRESPONDIENDO[1]	
239	DEBERÁN	145	0,06	13	46,43	0,78		
240	NORMAS	145	0,06	19	67,86	0,81		
